step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number,condition_number_spectral,condition_gap,min_eigenvalue,max_eigenvalue,active_equations,drop_events_step,drop_index_mask_step,drop_events_total,recovery_events_step,recovery_steps_step,recovery_events_total,pending_drop_count,max_pending_steps_running
80,0.280000,0.745461,0.332549,-0.154901,0.000000,0.017277,0.307966,0.000000,-0.140740,0.000336,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,80
81,0.283500,0.745465,0.332550,-0.154924,0.000000,0.017223,0.307999,0.000000,-0.140782,0.000336,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,81
82,0.287000,0.745469,0.332551,-0.154947,0.000000,0.017169,0.308031,0.000000,-0.140824,0.000337,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,82
83,0.290500,0.745473,0.332552,-0.154970,0.000000,0.017114,0.308063,0.000000,-0.140866,0.000337,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,83
84,0.294000,0.745477,0.332553,-0.154993,0.000000,0.017060,0.308096,0.000000,-0.140908,0.000337,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,84
85,0.297500,0.745481,0.332554,-0.155016,0.000000,0.017006,0.308128,0.000000,-0.140950,0.000338,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,85
86,0.301000,0.745485,0.332555,-0.155039,0.000000,0.016952,0.308160,0.000000,-0.140991,0.000338,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,86
87,0.304500,0.745489,0.332556,-0.155061,0.000000,0.016898,0.308192,0.000000,-0.141033,0.000339,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,87
88,0.308000,0.745493,0.332557,-0.155084,0.000000,0.016845,0.308224,0.000000,-0.141075,0.000339,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,88
89,0.311500,0.745497,0.332558,-0.155107,0.000000,0.016791,0.308256,0.000000,-0.141116,0.000340,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,89
90,0.315000,0.745501,0.332559,-0.155129,0.000000,0.016738,0.308288,0.000000,-0.141158,0.000340,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,90
91,0.318500,0.745505,0.332560,-0.155152,0.000000,0.016684,0.308320,0.000000,-0.141199,0.000340,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,91
92,0.322000,0.745509,0.332561,-0.155174,0.000000,0.016631,0.308351,0.000000,-0.141240,0.000341,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,92
93,0.325500,0.745513,0.332562,-0.155197,0.000000,0.016577,0.308383,0.000000,-0.141281,0.000341,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,93
94,0.329000,0.745517,0.332563,-0.155219,0.000000,0.016524,0.308415,0.000000,-0.141323,0.000342,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,94
95,0.332500,0.745521,0.332564,-0.155242,0.000000,0.016471,0.308447,0.000000,-0.141364,0.000342,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,95
96,0.336000,0.745525,0.332565,-0.155264,0.000000,0.016418,0.308478,0.000000,-0.141405,0.000342,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,96
97,0.339500,0.745529,0.332566,-0.155286,0.000000,0.016365,0.308510,0.000000,-0.141446,0.000343,0.000000,0.000420,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,97
98,0.343000,0.745533,0.332567,-0.155309,0.000000,0.016312,0.308541,0.000000,-0.141486,0.000343,0.000000,0.000420,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,98
99,0.346500,0.745537,0.332568,-0.155331,0.000000,0.016260,0.308573,0.000000,-0.141527,0.000344,0.000000,0.000420,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,99
100,0.350000,0.745541,0.332569,-0.155353,0.000000,0.016207,0.308604,0.000000,-0.141568,0.000344,0.000000,0.000420,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,100
