time,pos_x,pos_y,angle,vx,vy,omega,translation_x,translation_y,orientation_error,motor_force_x,motor_force_y,limit_force_x,limit_force_y,limit_spring_force_x,limit_spring_force_y,motor_mode_x,motor_mode_y,motor_target_x,motor_target_y,orientation_target,limit_state_x,limit_state_y,limit_lower_y,limit_upper_y,stage
1.464000,0.170780,-0.129618,0.220000,-0.557354,0.189255,-0.000000,0.170780,-0.129618,-0.000000,-36.000000,27.628180,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.484000,0.161035,-0.127277,0.220000,-0.486481,0.112051,-0.000000,0.161035,-0.127277,0.000000,-2.497054,-13.814429,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.504000,0.151827,-0.125184,0.220000,-0.411328,0.116537,0.000000,0.151827,-0.125184,0.000000,33.364751,-9.885289,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.524000,0.142755,-0.122708,0.220000,-0.432349,0.085836,0.000000,0.142755,-0.122708,0.000000,9.985770,-23.295236,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.544000,0.134105,-0.120205,0.220000,-0.389223,0.148166,0.000000,0.134105,-0.120205,0.000000,24.674145,9.968476,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.564000,0.125617,-0.118053,0.220000,-0.394048,0.170803,0.000000,0.125617,-0.118053,0.000000,15.446855,27.655873,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.584000,0.117739,-0.116084,0.220000,-0.438858,0.086245,0.000000,0.117739,-0.116084,0.000000,-13.342700,-17.776769,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.604000,0.109310,-0.114410,0.220000,-0.352945,0.081096,0.000000,0.109310,-0.114410,0.000000,27.574449,-19.016509,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.624000,0.101601,-0.112770,0.220000,-0.406881,0.084820,0.000000,0.101601,-0.112770,0.000000,-10.251585,-15.833918,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.644000,0.094783,-0.111230,0.220000,-0.325395,0.066162,0.000000,0.094783,-0.111230,0.000000,25.141650,-23.954745,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.664000,0.087520,-0.108540,0.220000,-0.335183,0.129701,0.000000,0.087520,-0.108540,0.000000,14.408291,10.065290,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.684000,0.080745,-0.106753,0.220000,-0.401080,0.152617,0.000000,0.080745,-0.106753,0.000000,-28.885037,27.587804,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.704000,0.074307,-0.104590,0.220000,-0.320432,0.168249,0.000000,0.074307,-0.104590,0.000000,11.207366,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.724000,0.067779,-0.102560,0.220000,-0.288535,0.100553,0.000000,0.067779,-0.102560,0.000000,21.966374,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.744000,0.061925,-0.100858,0.220000,-0.304225,0.032129,0.000000,0.061925,-0.100858,0.000000,9.403034,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.764000,0.055808,-0.098956,0.220000,-0.263196,0.092931,0.000000,0.055808,-0.098956,0.000000,25.071364,-0.686122,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.784000,0.049765,-0.096853,0.220000,-0.274957,0.156439,0.000000,0.049765,-0.096853,0.000000,14.326107,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.804000,0.044173,-0.095068,0.220000,-0.342410,0.088195,0.000000,0.044173,-0.095068,0.000000,-28.781216,0.057326,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
